"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Idaho","16","75-84 years","75-84","2020","2020",64,89638,71.398
,"Idaho","16","75-84 years","75-84","2021","2021",82,90494,90.614
,"Idaho","16","75-84 years","75-84","2022","2022",70,99666,70.235
,"Idaho","16","75-84 years","75-84","2023","2023",77,105707,72.843
,"Idaho","16","75-84 years","75-84","2024 (provisional)","2024",71,105707,67.167
,"Idaho","16","75-84 years","75-84","2025 (provisional and partial)","2025",42,105707,39.732
,"Idaho","16","85+ years","85+","2018","2018",54,29419,183.555
,"Idaho","16","85+ years","85+","2019","2019",47,29774,157.856
,"Idaho","16","85+ years","85+","2020","2020",41,30414,134.806
,"Idaho","16","85+ years","85+","2021","2021",56,27616,202.781
,"Idaho","16","85+ years","85+","2022","2022",40,31301,127.791
,"Idaho","16","85+ years","85+","2023","2023",54,30410,177.573
,"Idaho","16","85+ years","85+","2024 (provisional)","2024",58,30410,190.727
,"Idaho","16","85+ years","85+","2025 (provisional and partial)","2025",28,30410,92.075
,"Idaho","16","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Idaho","16","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Iowa","19","< 1 year","1","2018","2018",0,38291,Unreliable
,"Iowa","19","< 1 year","1","2019","2019",0,37540,Unreliable
,"Iowa","19","< 1 year","1","2020","2020",0,36974,Unreliable
,"Iowa","19","< 1 year","1","2021","2021",0,35621,Unreliable
,"Iowa","19","< 1 year","1","2022","2022",0,36786,Unreliable
,"Iowa","19","< 1 year","1","2023","2023",0,36766,Unreliable
,"Iowa","19","< 1 year","1","2024 (provisional)","2024",0,36766,Unreliable
,"Iowa","19","< 1 year","1","2025 (provisional and partial)","2025",0,36766,Unreliable
,"Iowa","19","1-4 years","1-4","2018","2018",0,159927,Unreliable
,"Iowa","19","1-4 years","1-4","2019","2019",0,158096,Unreliable
,"Iowa","19","1-4 years","1-4","2020","2020",0,155608,Unreliable
,"Iowa","19","1-4 years","1-4","2021","2021",0,153435,Unreliable
,"Iowa","19","1-4 years","1-4","2022","2022",0,149414,Unreliable
,"Iowa","19","1-4 years","1-4","2023","2023",0,149273,Unreliable
,"Iowa","19","1-4 years","1-4","2024 (provisional)","2024",0,149273,Unreliable
,"Iowa","19","1-4 years","1-4","2025 (provisional and partial)","2025",0,149273,Unreliable
,"Iowa","19","5-14 years","5-14","2018","2018",0,409679,Unreliable
,"Iowa","19","5-14 years","5-14","2019","2019",0,408495,Unreliable
,"Iowa","19","5-14 years","5-14","2020","2020",0,409002,Unreliable
,"Iowa","19","5-14 years","5-14","2021","2021",0,417424,Unreliable
,"Iowa","19","5-14 years","5-14","2022","2022",0,408072,Unreliable
,"Iowa","19","5-14 years","5-14","2023","2023",0,409598,Unreliable
,"Iowa","19","5-14 years","5-14","2024 (provisional)","2024",0,409598,Unreliable
,"Iowa","19","5-14 years","5-14","2025 (provisional and partial)","2025",0,409598,Unreliable
,"Iowa","19","15-24 years","15-24","2018","2018",0,441900,Unreliable
,"Iowa","19","15-24 years","15-24","2019","2019",0,436415,Unreliable
,"Iowa","19","15-24 years","15-24","2020","2020",0,437831,Unreliable
,"Iowa","19","15-24 years","15-24","2021","2021",0,446098,Unreliable
,"Iowa","19","15-24 years","15-24","2022","2022",0,458710,Unreliable
,"Iowa","19","15-24 years","15-24","2023","2023",0,453609,Unreliable
,"Iowa","19","15-24 years","15-24","2024 (provisional)","2024",0,453609,Unreliable
,"Iowa","19","15-24 years","15-24","2025 (provisional and partial)","2025",Suppressed,453609,Suppressed
,"Iowa","19","25-34 years","25-34","2018","2018",Suppressed,397715,Suppressed
,"Iowa","19","25-34 years","25-34","2019","2019",Suppressed,398150,Suppressed
,"Iowa","19","25-34 years","25-34","2020","2020",Suppressed,398796,Suppressed
,"Iowa","19","25-34 years","25-34","2021","2021",Suppressed,397565,Suppressed
,"Iowa","19","25-34 years","25-34","2022","2022",Suppressed,398236,Suppressed
